dims,LinReg_kappa,LinReg_spearman,SVC_kappa,SVC_spearman
1,0.5386226043854173,0.3232176658439581,0.5386226043854173,0.3232176658439581
2,0.7277919332616122,0.6236200601285135,0.753440737779214,0.6155567760172059
3,0.878577410863843,0.8120197853897296,0.8620216846306975,0.8034114245963648
4,0.9030822051905694,0.8401323703006517,0.9189552210635853,0.8340750062157504
5,0.9435196809527482,0.8577253826248308,0.9518530142860815,0.8448681819662642
6,0.934712526250071,0.8693457326944815,0.9599976308931534,0.8602702923642184
7,0.9355831730162402,0.8754123678793495,0.9518530142860815,0.8576171525237957
8,0.9365277077682229,0.8773168742718626,0.9444642157047308,0.8620570425223791
9,0.9355831730162402,0.8848000956323174,0.9602057165055196,0.8673980601315222
10,0.9755855421230869,0.8945610890668059,0.9762674721629946,0.8725510352019622
